features,review_text,distance_to_center,review_score,image_url,price,star_rating,daily_price,nights,id,location,value_ratio,review_count,name
"Wi-Fi, Engelli Dostu",Misafir Puanı,,6.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074185400000/2/1/28065/pembe_pansiyon.jpg?width=552&height=392&mode=crop&anchor=center,2.000 TL,0,(gecelik 1.000 TL),2 Gece,1434929,"Büyükada, Adalar, İstanbul -",6.6,19,Pembe Pansiyon
"Wi-Fi, Resepsiyon, Çocuk Dostu",Müthiş,Merkeze 0.2 km,8.5,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290618330000/2/1/8511/a_plus_residence.jpg?width=552&height=392&mode=crop&anchor=center,2.580 TL,3,(gecelik 1.290 TL),2 Gece,506711,"Beyoğlu, İstanbul -",6.589147286821706,12,A Plus Residence
"Otopark, Wi-Fi, Teras",Muhteşem,,9.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294316800000/2/1/11302/halikarnas_butik_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.736 TL,0,(gecelik 1.368 TL),2 Gece,1104787,"Büyükada, Adalar, İstanbul -",6.578947368421052,72,Halikarnas Butik Hotel
"Otopark, Spa, Wi-Fi, Jakuzi, Hamam, Masaj",İyi,,7.7,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246072927030000/2/1/26497/loft_plus_hotel___spa.jpg?width=552&height=392&mode=crop&anchor=center,2.342 TL,3,(gecelik 1.171 TL),2 Gece,1434855,"Arnavutköy, İstanbul -",6.575576430401366,29,Loft Plus Hotel & Spa
Wi-Fi,Çok iyi,Merkeze 1.1 km,8.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290689430000/2/1/8630/avsin_apart_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.533 TL,0,(gecelik 1.267 TL),2 Gece,1104502,"Yenikapı, Fatih, İstanbul -",6.5509076558800325,17,Avşin Apart Hotel
"Otopark, Wi-Fi, Doğa Manzarası, Restoran, Resepsiyon, Engelli Dostu",Müthiş,,8.5,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638113051956900000/2/1/25215/operla_airport_hotels__trademark_collection_by_wyndham.jpg?width=552&height=392&mode=crop&anchor=center,2.609 TL,4,(gecelik 1.305 TL),2 Gece,1429763,"Arnavutköy, İstanbul -",6.513409961685824,53,Operla Airport Hotels Trademark Collection by Wyndham
"Otopark, Wi-Fi, Restoran, Teras",Olağanüstü,Merkeze 1.3 km,10,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290580970000/2/1/8412/ottoman_elegance.jpg?width=552&height=392&mode=crop&anchor=center,3.076 TL,3,(gecelik 1.538 TL),2 Gece,479212,"Yenikapı, Fatih, İstanbul -",6.501950585175552,30,Ottoman Elegance
Kahvaltı Dahil,Muhteşem,,9.1,https://media.dev.paximum.com/hotelimages/1489288/f1e2408574fd01034ccfb8421ebbd450.jpg?width=552&height=392&mode=crop&anchor=center,2.802 TL,3,(gecelik 1.401 TL),2 Gece,1489288,"Arnavutköy, İstanbul -",6.4953604568165595,24,Heaven Premium Airport Hotel
"Toplantı Odaları, Restoran, Teras, Resepsiyon, Engelli Dostu, Çocuk Dostu",Çok iyi,Merkeze 1 km,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290357500000/2/1/7916/senyor_garden_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.591 TL,3,(gecelik 1.296 TL),2 Gece,1367306,"Kumkapı, Fatih, İstanbul -",6.481481481481482,27,Senyor Garden Hotel
"Otopark, Wi-Fi",Çok iyi,Merkeze 1.6 km,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074175130000/2/1/28031/efzen_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.596 TL,0,(gecelik 1.298 TL),2 Gece,1434895,"Sultanahmet, Fatih, İstanbul -",6.471494607087828,14,Efzen Hotel
