features,review_text,distance_to_center,review_score,image_url,price,star_rating,daily_price,nights,id,location,value_ratio,review_count,name
Restoran,Muhteşem,Merkeze 0.2 km,9.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294249700000/2/1/10884/la_bella_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.257 TL,0,(gecelik 1.129 TL),2 Gece,1315390,"Taksim, Beyoğlu, İstanbul -",8.148804251550043,19,La Bella Hotel
"Kahvaltı Dahil, Restoran, Resepsiyon, Engelli Dostu",Çok iyi,,8.1,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292539930000/2/1/9713/emir_butik_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.999 TL,3,(gecelik 1.000 TL),2 Gece,745968,"Kumburgaz, Büyükçekmece, İstanbul -",8.1,79,Emir Butik Hotel
"Otopark, Spa, Wi-Fi, Restoran, Teras, Resepsiyon",Çok iyi,Merkeze 0.6 km,8.0,https://media.dev.paximum.com/hotelimages/1354910/f82d2c1b0348026b8ac85b7a4c6abb5b.jpg?width=552&height=392&mode=crop&anchor=center,1.994 TL,0,(gecelik 997 TL),2 Gece,1354910,"Taksim, Beyoğlu, İstanbul -",8.02407221664995,58,Trilya Hotel İstanbul
"Wi-Fi, Restoran",Olağanüstü,,10,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638387703930670000/2/1/35395/melekler_pansiyon.jpg?width=552&height=392&mode=crop&anchor=center,2.549 TL,0,(gecelik 1.275 TL),2 Gece,1486790,"Şile, İstanbul -",7.8431372549019605,4,Melekler Pansiyon
"Resepsiyon, Engelli Dostu",Misafir Puanı,,6.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294300170000/2/1/11200/big_life_suite_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.644 TL,4,(gecelik 822 TL),2 Gece,1397632,"Avcılar, İstanbul -",7.785888077858881,52,Big Life Suit Hotel
"Ücretsiz İptal, Wi-Fi, Deniz Manzarası, Deniz Kıyısı, Restoran, Resepsiyon",Normal,,7.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290392230000/2/1/8138/deniz_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.800 TL,0,(gecelik 900 TL),2 Gece,1104827,"Kumburgaz, Büyükçekmece, İstanbul -",7.777777777777778,42,Deniz Otel Büyükçekmece
"Göl Manzarası, Resepsiyon, Engelli Dostu",Müthiş,,8.5,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293793430000/2/1/10498/avcilar_garden_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.192 TL,3,(gecelik 1.096 TL),2 Gece,1354831,"Avcılar, İstanbul -",7.755474452554744,204,Avcılar Garden Hotel
Wi-Fi,Çok iyi,,8.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294313400000/2/1/11281/buyukada_myway_butik_otel_sahil.jpg?width=552&height=392&mode=crop&anchor=center,2.157 TL,3,(gecelik 1.079 TL),2 Gece,798064,"Büyükada, Adalar, İstanbul -",7.6923076923076925,109,Büyükada My Way Butik Otel
"Otopark, Wi-Fi, Resepsiyon",İyi,Merkeze 1.2 km,7.8,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637940738290170000/2/1/128/the_trip_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.031 TL,3,(gecelik 1.016 TL),2 Gece,665141,"Sultanahmet, Fatih, İstanbul -",7.677165354330708,118,The Trip Hotel Old City
"Otopark, Wi-Fi, Deniz Manzarası, Restoran, Teras, Resepsiyon",Çok iyi,,8.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290688600000/2/1/8625/istanbul_fair_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.172 TL,3,(gecelik 1.086 TL),2 Gece,506934,"Küçükçekmece, İstanbul -",7.642725598526704,203,İstanbul Fair Hotel
Resepsiyon,Çok iyi,Merkeze 1.6 km,8.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293681200000/2/1/10258/konak_bella_3.jpg?width=552&height=392&mode=crop&anchor=center,2.148 TL,0,(gecelik 1.074 TL),2 Gece,1315399,"Aksaray, Fatih, İstanbul -",7.635009310986964,10,Konak Bella 3
"Otopark, Wi-Fi, Restoran, Şehir Manzarası, Resepsiyon, Engelli Dostu",Misafir Puanı,,6.5,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294235630000/2/1/10797/cnr_inci_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.728 TL,3,(gecelik 864 TL),2 Gece,1315600,"Sefaköy, Küçükçekmece, İstanbul -",7.523148148148148,131,Cnr Inci Hotel
Wi-Fi,Çok iyi,,8.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246072927570000/2/1/26499/heaven_inn_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.192 TL,3,(gecelik 1.096 TL),2 Gece,1438800,"Arnavutköy, İstanbul -",7.481751824817517,25,Heaven Inn Airport Hotel
Wi-Fi,Çok iyi,,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638387702677730000/2/1/34846/the_pearl_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.253 TL,3,(gecelik 1.127 TL),2 Gece,1485950,"Arnavutköy, İstanbul -",7.453416149068324,51,The Pearl Airport Hotel
Wi-Fi,Müthiş,,8.7,https://media.dev.paximum.com/hotelimages/1489395/9f125fc05ec6fab206ba44f3d4bbbe0f.jpg?width=552&height=392&mode=crop&anchor=center,2.336 TL,0,(gecelik 1.168 TL),2 Gece,1489395,"Arnavutköy, İstanbul -",7.448630136986301,9,Dem Hotel Premium Istanbul Airport
"Wi-Fi, Şehir Manzarası, Resepsiyon",İyi,,7.9,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294259000000/2/1/10943/fly_and_stay_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.126 TL,3,(gecelik 1.063 TL),2 Gece,1354890,"Arnavutköy, İstanbul -",7.4317968015051745,36,Fly And Stay Airport Hotel
"Spa, Toplantı Odaları, Jakuzi, Hamam, Masaj, Resepsiyon",Misafir Puanı,,6.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294195900000/2/1/10714/royal_inci_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.782 TL,4,(gecelik 891 TL),2 Gece,657863,"Sefaköy, Küçükçekmece, İstanbul -",7.4074074074074066,258,Royal İnci Spa Hotel
"Wi-Fi, Teras, Engelli Dostu",Çok iyi,Merkeze 0.7 km,8.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292476270000/2/1/9455/stay_inn_taksim_hostel.jpg?width=552&height=392&mode=crop&anchor=center,2.242 TL,4,(gecelik 1.121 TL),2 Gece,478901,"Kamer Hatun, Beyoğlu, İstanbul -",7.404103479036575,236,Stay İnn Taksim Hostel
"Havuz, Spa, Hamam, Masaj, Resepsiyon, Engelli Dostu",Normal,,7.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294292730000/2/1/11153/seyithan_palace_spa_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.900 TL,4,(gecelik 950 TL),2 Gece,1396599,"Sefaköy, Küçükçekmece, İstanbul -",7.368421052631579,237,Seyithan Palace Spa Hotel
"Otopark, Wi-Fi",Muhteşem,Merkeze 1.1 km,9.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290687970000/2/1/8621/hostel_erenler.jpg?width=552&height=392&mode=crop&anchor=center,2.548 TL,0,(gecelik 1.274 TL),2 Gece,479032,"Sirkeci, Fatih, İstanbul -",7.2998430141287285,19,Hostel Erenler
"Kahvaltı Dahil, Wi-Fi",Müthiş,Merkeze 1.1 km,8.5,https://media.dev.paximum.com/hotelimages/872769/b7fbaf153866072752c6d7c85029b0ed.jpg?width=552&height=392&mode=crop&anchor=center,2.331 TL,3,(gecelik 1.166 TL),2 Gece,872769,"Yenikapı, Fatih, İstanbul -",7.289879931389366,20,Hotel Red Rose
"Otopark, Wi-Fi, Restoran, Resepsiyon, Engelli Dostu",Çok iyi,,8.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294069230000/2/1/10636/sahra_airport.jpg?width=552&height=392&mode=crop&anchor=center,2.195 TL,3,(gecelik 1.098 TL),2 Gece,478210,"Küçükçekmece, İstanbul -",7.285974499089253,105,Sahra Airport
"Kahvaltı Dahil, Otopark, Wi-Fi, Resepsiyon",Çok iyi,,8.1,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246072926770000/2/1/26496/intercity_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.231 TL,3,(gecelik 1.116 TL),2 Gece,1434854,"Arnavutköy, İstanbul -",7.258064516129032,74,Intercity Airport Hotel
"Ücretsiz İptal, Wi-Fi, Kahvaltı Dahil, Teras",Muhteşem,Merkeze 0.4 km,9.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293191670000/2/1/9980/gorur_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.568 TL,3,(gecelik 1.284 TL),2 Gece,507456,"Eminönü, Fatih, İstanbul -",7.242990654205609,3,Görür Hotel
Wi-Fi,Çok iyi,Merkeze 1.1 km,8.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292402770000/2/1/9250/camellia_hostel.jpg?width=552&height=392&mode=crop&anchor=center,2.284 TL,0,(gecelik 1.142 TL),2 Gece,1315347,"Fatih, İstanbul -",7.180385288966725,21,Camellia Otel
"Resepsiyon, Engelli Dostu",Misafir Puanı,,6.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294195430000/2/1/10711/grand_istanbul_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.800 TL,3,(gecelik 900 TL),2 Gece,618465,"Güneşli, Bağcılar, İstanbul -",7.111111111111112,134,Grand İstanbul Airport Hotel
"Resepsiyon, Engelli Dostu",Müthiş,Merkeze 0.4 km,8.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290345730000/2/1/7843/taksim_palace_istanbul_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.422 TL,0,(gecelik 1.211 TL),2 Gece,1105982,"Taksim, Beyoğlu, İstanbul -",7.101568951279933,38,Taksim Palace Hotel Istanbul
"Otopark, Wi-Fi, Resepsiyon",Çok iyi,Merkeze 2 km,8.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290738700000/2/1/8848/sah_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.253 TL,0,(gecelik 1.127 TL),2 Gece,1106248,"Fındıkzade, Fatih, İstanbul -",7.098491570541261,39,Şah Hotel
Wi-Fi,Olağanüstü,Merkeze 1 km,10,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638700344511700000/2/1/41504/taksim_nikea_suites_80.jpg?width=552&height=392&mode=crop&anchor=center,2.834 TL,0,(gecelik 1.417 TL),2 Gece,1519013,"Taksim, Beyoğlu, İstanbul -",7.057163020465773,7,Taksim Nikea Suites 80
"Otopark, Wi-Fi, Restoran",Müthiş,Merkeze 1.4 km,8.7,https://media.dev.paximum.com/hotelimages/478481/deedbc6c420b7a11ab625c3cddce40af.jpg?width=552&height=392&mode=crop&anchor=center,2.466 TL,5,(gecelik 1.233 TL),2 Gece,478481,"Sultanahmet, Fatih, İstanbul -",7.05596107055961,6,Nar Otel
"Ücretsiz İptal, Otopark, Wi-Fi, Resepsiyon, Çocuk Dostu",Normal,Merkeze 0.2 km,7.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952291658830000/2/1/9172/taxim_elegance_suites.jpg?width=552&height=392&mode=crop&anchor=center,2.100 TL,3,(gecelik 1.050 TL),2 Gece,105354,"Taksim, Beyoğlu, İstanbul -",7.047619047619048,25,Taxim Elegance Suites
Wi-Fi,Çok iyi,Merkeze 0.3 km,8.3,https://media.dev.paximum.com/hotelimages/479210/16462cdcd1a286adca0a1d2013f8cf66.jpg?width=552&height=392&mode=crop&anchor=center,2.356 TL,0,(gecelik 1.178 TL),2 Gece,479210,"Taksim, Beyoğlu, İstanbul -",7.04584040747029,21,Otto Suite Taksim
